X,Y,Z,RX,RY,RZ
-412.443,267.684,681.218,179.995,0.007,110.727
-414.711,263.93,681.286,179.996,0.006,112.437
-414.711,263.93,681.286,179.996,0.006,112.437
-414.711,263.93,681.286,179.996,0.006,112.437
-418.065,258.241,681.384,179.996,0.006,114.972
-418.065,258.241,681.384,179.996,0.006,114.972
-420.351,254.254,681.458,179.997,0.006,116.718
-420.351,254.254,681.458,179.997,0.006,116.718
-420.351,254.254,681.458,179.997,0.006,116.718
-423.81,248.054,681.573,179.998,0.005,119.433
-423.81,248.054,681.573,179.998,0.005,119.433
-423.81,248.054,681.573,179.998,0.005,119.433
-426.085,243.867,681.645,179.998,0.005,121.257
-426.085,243.867,681.645,179.998,0.005,121.257
-429.553,237.283,681.751,179.998,0.006,124.1
-429.553,237.283,681.751,179.998,0.006,124.1
-429.553,237.283,681.751,179.998,0.006,124.1
-432.997,230.49,681.865,179.998,0.006,127.017
-432.997,230.49,681.865,179.998,0.006,127.017
-435.261,225.878,681.942,179.998,0.006,128.984
-435.261,225.878,681.942,179.998,0.006,128.984
-435.261,225.878,681.942,179.998,0.006,128.984
-438.65,218.731,682.061,179.998,0.006,131.952
-438.65,218.731,682.061,179.998,0.006,131.952
-440.836,213.954,682.134,179.998,0.007,133.972
-440.836,213.954,682.134,179.998,0.007,133.972
-444.026,206.728,682.246,179.998,0.008,137.045
-444.026,206.728,682.246,179.998,0.008,137.045
-446.108,201.829,682.33,179.999,0.008,139.082
-446.108,201.829,682.33,179.999,0.008,139.082
-449.217,194.242,682.454,179.999,0.008,142.219
-449.217,194.242,682.454,179.999,0.008,142.219
-452.206,186.585,682.573,180.0,0.008,145.36
-452.206,186.585,682.573,180.0,0.008,145.36
-454.109,181.503,682.653,180.0,0.008,147.441
-456.803,173.999,682.773,-180.0,0.008,150.494
-456.803,173.999,682.773,-180.0,0.008,150.494
-458.624,168.69,682.857,-179.999,0.007,152.596
-458.624,168.69,682.857,-179.999,0.007,152.596
-461.097,161.124,682.965,-179.999,0.009,155.705
-461.097,161.124,682.965,-179.999,0.009,155.705
-461.097,161.124,682.965,-179.999,0.009,155.705
-462.71,155.96,683.047,-179.999,0.008,157.768
-462.71,155.96,683.047,-179.999,0.008,157.768
-462.71,155.96,683.047,-179.999,0.008,157.768
-465.047,148.1,683.174,-179.998,0.007,160.907
-465.047,148.1,683.174,-179.998,0.007,160.907
-465.047,148.1,683.174,-179.998,0.007,160.907
-466.51,142.92,683.253,-179.998,0.007,162.981
-466.51,142.92,683.253,-179.998,0.007,162.981
-468.622,135.017,683.374,-179.998,0.007,166.117
-468.622,135.017,683.374,-179.998,0.007,166.117
-468.622,135.017,683.374,-179.998,0.007,166.117
-470.601,127.089,683.499,-179.998,0.006,169.196
-470.601,127.089,683.499,-179.998,0.006,169.196
-470.601,127.089,683.499,-179.998,0.006,169.196
-471.841,121.8,683.579,-179.998,0.006,171.261
-471.841,121.8,683.579,-179.998,0.006,171.261
-473.55,114.022,683.686,-179.997,0.007,174.375
-473.55,114.022,683.686,-179.997,0.007,174.375
-474.637,108.732,683.767,-179.997,0.007,176.452
-474.637,108.732,683.767,-179.997,0.007,176.452
-474.637,108.732,683.767,-179.997,0.007,176.452
-476.175,100.705,683.891,-179.997,0.006,179.593
-476.175,100.705,683.891,-179.997,0.006,179.593
-477.58,92.637,684.012,-179.997,0.005,-177.264
-477.58,92.637,684.012,-179.997,0.005,-177.264
-478.419,87.36,684.088,-179.997,0.005,-175.21
-478.419,87.36,684.088,-179.997,0.005,-175.21
-478.419,87.36,684.088,-179.997,0.005,-175.21
-479.594,79.302,684.212,-179.997,0.004,-172.07
-480.302,73.935,684.292,-179.997,0.003,-169.992
-480.302,73.935,684.292,-179.997,0.003,-169.992
-480.302,73.935,684.292,-179.997,0.003,-169.992
-481.227,66.044,684.399,-179.996,0.004,-166.936
-481.227,66.044,684.399,-179.996,0.004,-166.936
-481.227,66.044,684.399,-179.996,0.004,-166.936
